MAL_ID,Name,Average Rating,Genres,English name,Japanese name,Type,Episodes,Premiered,Studios,Members,Favorites
1678,Cyborg 009: The Cyborg Soldier,7.28,"Action, Sci-Fi, Adventure, Mecha, Shounen",Cyborg 009,サイボーグ009 THE CYBORG SOLDIER,TV,50,Fall 2001,"Shaft, Brain's Base, Japan Vistec",25836,173
1679,Green Green Specials,6.24,"Comedy, Ecchi, Romance, Slice of Life",Unknown,グリーングリーン キャラクターDVD,OVA,3,Unknown,Unknown,9791,6
1681,Brave Story,7.46,"Action, Adventure, Fantasy, Kids, Magic, Supernatural",Brave Story,ブレイブ・ストーリー,Movie,1,Unknown,Gonzo,37201,157
1682,Baldr Force Exe Resolution,6.47,"Action, Drama, Mecha, Sci-Fi",Unknown,バルドフォース　エグゼ　レソリューション,OVA,4,Unknown,Satelight,15550,32
1683,Di Gi Charat Nyo,7.04,"Comedy, Fantasy, Sci-Fi",Unknown,デ・ジ・キャラットにょ,TV,104,Spring 2003,Madhouse,5709,44
1684,Dotto Koni-chan,7.26,Comedy,.Koni-chan,ドッとKONIちゃん,TV,26,Fall 2000,Shaft,2864,17
1685,Duel Masters,5.85,"Action, Adventure, Comedy, Shounen",Unknown,デュエル・マスターズ,TV,26,Fall 2002,Studio Hibari,19807,37
1686,Bleach Movie 1: Memories of Nobody,7.45,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",Bleach the Movie:Memories of Nobody,劇場版 BLEACH MEMORIES OF NOBODY,Movie,1,Unknown,Studio Pierrot,222138,746
1688,Nanatsu-iro★Drops,7.03,"Magic, Romance, School",Unknown,ななついろ★ドロップス,TV,12,Summer 2007,Diomedéa,20196,100
1689,Byousoku 5 Centimeter,7.73,"Drama, Romance, Slice of Life",5 Centimeters Per Second,秒速５センチメートル,Movie,3,Unknown,CoMix Wave Films,695375,9719
1690,Bokura no,7.66,"Sci-Fi, Psychological, Drama, Mecha, Seinen",Bokurano,ぼくらの,TV,24,Spring 2007,Gonzo,149892,1088
1691,Kaze no Stigma,7.26,"Action, Magic, Romance, Fantasy, Shounen",Kaze no Stigma,風のスティグマ,TV,24,Spring 2007,Gonzo,375013,2144
1692,_Summer,5.67,"Drama, Harem, Romance",Unknown,_summer [アンダーバーサマー],OVA,2,Unknown,Rikuentai,9089,5
1693,Reideen,6.56,"Action, Mecha, Sci-Fi",Reideen,ライディーン,TV,26,Winter 2007,Production I.G,7661,7
1694,iDOLM@STER Xenoglossia,6.52,"Action, Comedy, Mecha, Sci-Fi",IDOLM@STER Xenoglossia,アイドルマスター XENOGLOSSIA（ゼノグラシア）,TV,26,Spring 2007,Sunrise,20153,34
1695,Les Misérables: Shoujo Cosette,7.86,"Slice of Life, Historical, Drama, Shoujo",Unknown,レ・ミゼラブル 少女コゼット,TV,52,Winter 2007,Nippon Animation,21500,207
1696,Murder Princess,7.02,"Action, Adventure, Fantasy",Murder Princess,マーダープリンセス,OVA,6,Unknown,Bee Train,51500,167
1698,Nodame Cantabile,8.32,"Music, Slice of Life, Comedy, Drama, Romance, Josei",Nodame Cantabile,のだめカンタービレ,TV,23,Winter 2007,J.C.Staff,262005,4913
1699,Romeo x Juliet,7.66,"Drama, Fantasy, Historical, Romance",Romeo x Juliet,ロミオ×ジュリエット,TV,24,Spring 2007,Gonzo,154988,1243
1701,Boku no Marie,6.28,"Comedy, Ecchi, Romance, Sci-Fi, Seinen",My Dear Marie,ぼくのマリー,OVA,3,Unknown,Studio Pierrot,4016,7
1702,Yoru ga Kuru!,5.65,"Demons, Hentai, Horror, Super Power, Supernatural",Square Of The Moon:The Night Is Coming!,夜が来る!,OVA,4,Unknown,Unknown,2644,3
1703,Tokyo Tribe 2,6.73,"Action, Drama",Unknown,TOKYO TRIBE 2,TV,13,Fall 2006,Madhouse,9356,24
1704,Eat-Man,6.46,"Action, Adventure, Sci-Fi, Shounen, Super Power",Unknown,イートマン,TV,12,Winter 1997,Studio Deen,8170,21
1705,Genma Taisen: Shinwa Zenya no Shou,5.1,"Adventure, Drama, Horror, Sci-Fi, Shounen, Supernatural",Genma Wars,幻魔大戦－神話前夜の章,TV,13,Winter 2002,Unknown,1517,2
1706,Gun Frontier,6.58,"Action, Adventure, Drama, Historical, Sci-Fi, Seinen",Unknown,ガンフロンティア,TV,13,Spring 2002,Echo,8243,15
1707,Kinnikuman II Sei,6.9,"Action, Sci-Fi, Comedy, Sports, Martial Arts, Shounen",Ultimate Muscle,キン肉マンII世,TV,51,Winter 2002,Toei Animation,12756,52
1708,Majuu Sensen: The Apocalypse,5.39,"Action, Super Power, Demons, Supernatural, Shounen",Beast Fighter:The Apocalypse,魔獣戦線 THE APOCALYPSE,TV,13,Winter 2003,Unknown,1881,0
1709,Pokemon: Mewtwo! Ware wa Koko ni Ari,7.06,"Action, Adventure, Comedy, Drama, Fantasy, Kids",Pokemon:Mewtwo Returns,ポケットモンスター ミュウツー! 我ハココニ在リ,Special,1,Unknown,OLM,61808,51
1710,Rockman.EXE,6.93,"Action, Game, Sci-Fi, Adventure, Comedy, Mecha, Shounen",MegaMan NT Warrior,ロックマン エグゼ,TV,56,Spring 2002,Xebec,31588,146
1711,Ryuusei Sentai Musumet,5.89,"Adventure, Comedy, Ecchi, Romance, Sci-Fi",Unknown,流星戦隊ムスメット,TV,13,Fall 2004,TNK,2305,4
1712,Shin Seiki Den Mars,5.67,"Mecha, Sci-Fi, Shounen",Unknown,神世紀伝　マーズ,TV,13,Fall 2002,Unknown,1062,1
1713,Submarine Super 99,6.24,"Action, Military, Sci-Fi, Adventure, Shounen",Unknown,サブマリン スーパー９９,TV,13,Spring 2003,Vega Entertainment,1408,2
1718,Winter Garden,6.59,"Drama, Romance, Shoujo, Slice of Life",Di Gi Charat:Winter Garden,ウィンターガーデン,Special,2,Unknown,J.C.Staff,6846,13
1719,Rozen Maiden: Ouvertüre,7.73,"Action, Comedy, Drama, Magic, Seinen",Rozen Maiden:Ouvertüre,ローゼンメイデン・オーベルテュー,Special,2,Unknown,Nomad,55460,258
1720,To Heart 2 OVA,6.9,"Comedy, Drama, Harem, Romance, School",Unknown,トゥハート2 OVA,OVA,3,Unknown,Unknown,6117,8
1721,Hitohira,6.77,"Drama, Romance, School, Seinen, Slice of Life",Unknown,ひとひら,TV,12,Spring 2007,Xebec,18073,30
1722,Nagasarete Airantou,7.27,"Harem, Comedy, Romance, Ecchi, Fantasy, Shounen",Unknown,ながされて藍蘭島,TV,26,Spring 2007,feel.,84272,390
1723,Clannad Movie,7.25,"Drama, Romance, Fantasy, School",Clannad The Motion Picture,劇場版 クラナド,Movie,1,Unknown,Toei Animation,143560,458
1724,Saint October,6.39,"Adventure, Fantasy",Unknown,セイントオクトーバー,TV,26,Winter 2007,Studio Comet,5362,9
1725,Keitai Shoujo,5.33,"Comedy, Romance, School, Drama",Unknown,ケータイ少女,ONA,6,Unknown,Studio Hibari,4790,4
1726,Devil May Cry,6.98,"Action, Demons, Fantasy",Devil May Cry,デビル メイ クライ,TV,12,Summer 2007,Madhouse,260197,1733
1727,Shinkyoku Soukai Polyphonica,6.84,"Drama, Fantasy, Music, Romance, School",Polyphonica,神曲奏界ポリフォニカ,TV,12,Spring 2007,Ginga Ya,29050,47
1728,Super GALS! Kotobuki Ran,7.42,"Comedy, Slice of Life, Shoujo",Super GALS!,超GALS! 寿蘭,TV,52,Spring 2001,Studio Pierrot,15854,173
1729,Maria-sama ga Miteru 3rd,7.85,"Drama, School, Shoujo Ai, Slice of Life",Maria Watches Over Us 3rd,マリア様がみてる〜３rd〜,OVA,5,Unknown,Studio Deen,18522,84
1731,Tales of Symphonia The Animation: Sylvarant-hen,7.18,"Action, Adventure, Magic, Martial Arts, Fantasy",Unknown,テイルズオブシンフォニア THE ANIMATION シルヴァラント編,OVA,4,Unknown,ufotable,47148,161
1732,Negima!? Natsu Special!?,7.12,"Ecchi, Fantasy, Comedy, Romance",Unknown,ネギま!?夏 スペシャル!?,OVA,1,Unknown,Shaft,16169,23
1733,eX-Driver: Nina & Rei Danger Zone,6.48,"Action, Sci-Fi, Cars",Unknown,エクスドライバー Nina&Rei Danger Zone,OVA,1,Unknown,Actas,3510,3
1734,Ajimu: Kaigan Monogatari,6.37,"Comedy, Drama, Romance, School",Unknown,あじむ ～海岸物語～,ONA,4,Unknown,Actas,12863,25
1735,Naruto: Shippuuden,8.16,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",Naruto:Shippuden,ナルト- 疾風伝,TV,500,Winter 2007,Studio Pierrot,1543765,84651
1736,B'T X Neo,7.15,"Action, Adventure, Shounen",Unknown,Ｂ’Ｔ　Ｘ（ビート・エックス）　ＮＥＯ,OVA,14,Unknown,TMS Entertainment,4227,20
1737,Uchuu Senshi Baldios,6.5,"Sci-Fi, Adventure, Space, Drama, Mecha, Shounen",Space Warrior Bladios,宇宙戦士 バルディオス,TV,34,Summer 1980,Production Reed,1603,6
1738,Muteki Kanban Musume,7.11,"Action, Comedy, Martial Arts, Parody, Shounen",Ramen Fighter Miki,無敵看板娘,TV,12,Summer 2006,Telecom Animation Film,17168,57
1739,Shibawanko no Wa no Kokoro,Unknown,Kids,Unknown,しばわんこの和のこころ,TV,80,Spring 2006,Three-d,574,0
1740,Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,5.51,"Action, Police, Drama, Seinen",Government Crime Investigation Agent Zaizen Jotaro,内閣権力犯罪強制取締官・財前丈太郎,TV,11,Summer 2006,Trans Arts,1188,2
1741,Hit wo Nerae! Specials,5.48,"Comedy, Ecchi",Unknown,ヒットをねらえ!,Special,4,Unknown,"Imagin, Studio Live",1498,0
1742,Souryuuden,6.56,"Mystery, Super Power, Supernatural, Drama",Legend of the Dragon Kings,創竜伝,OVA,12,Unknown,Kitty Films,2510,8
1743,Super Milk-chan,5.83,"Action, Comedy, Parody, Sci-Fi",Super Milk-Chan,スーパーミルクチャン,TV,14,Summer 1998,Unknown,3746,16
1744,Wagamama☆Fairy Mirumo de Pon!,7.3,"Kids, Adventure, Fantasy, Magic, Comedy, Romance, School, Drama, Shoujo",Mirmo Zibang!,わがまま☆フェアリー ミルモでポン!,TV,172,Spring 2002,Studio Hibari,15110,187
1745,Wild 7 Another Bouryaku Unga,5.28,"Action, Adventure, Police, Shounen",Wild 7 Another,ワイルド7 another　謀略運河,TV,13,Spring 2002,Unknown,747,0
1746,Zoids Fuzors,6.42,"Adventure, Mecha, Sci-Fi, Shounen",Zoids Fuzors,ゾイド・フューザーズ,TV,26,Fall 2004,Unknown,9771,17
1747,Freedom,7.45,"Action, Sci-Fi, Adventure, Space",Freedom,FREEDOM,OVA,7,Unknown,Sunrise,20385,66
1748,Piyoko ni Omakase pyo!,6.59,"Comedy, Sci-Fi, Shounen",Unknown,ぴよこにおまかせぴょ！,OVA,8,Unknown,Madhouse,2163,6
1749,Amaenaide yo!!: Yasumanaide yo!!,6.68,"Ecchi, Comedy, Romance, Supernatural",Ah! My Buddha Special,あまえないでよっ!!:休まないでよっ!!,Special,1,Unknown,Studio Deen,13338,2
1750,Amaenaide yo!! Katsu!!: Damasarenaide yo!!,6.63,"Ecchi, Comedy, Romance, Supernatural",Ah My Buddha Katsu Special,あまえないでよっ!!喝!! ダマされないでよっ!!,Special,1,Unknown,Studio Deen,12459,11
1751,Jikuu Bouken Nuumamonjaa,5.28,"Action, Comedy, Fantasy",Chrono Trigger,時空冒険ヌウマモンジャー,OVA,1,Unknown,Production I.G,6249,7
1752,Di Gi Charat: Hoshi no Tabi,6.58,Comedy,Di Gi Charat Movie:A Trip To The Planet,劇場版　Di Gi Charat[デ・ジ・キャラット]　星の旅,Movie,1,Unknown,Madhouse,2792,3
1753,Di Gi Charat: Kuchi Kara Bazooka,6.26,Comedy,Unknown,くちからバズーカ,Special,1,Unknown,Madhouse,1760,1
1754,Di Gi Charat Summer Special 2000,6.47,Comedy,Unknown,Di Gi Charat サマースペシャル2000,Special,4,Unknown,Madhouse,2510,1
1755,Di Gi Charat Ohanami Special,6.65,Comedy,Unknown,Di Gi Charat お花見すぺしゃる,Special,4,Unknown,Unknown,2287,1
1756,Di Gi Charat Natsuyasumi Special,6.59,Comedy,Unknown,Di Gi Charat 夏休みスペシャル,Special,4,Unknown,Unknown,2318,2
1757,Di Gi Charat Christmas Special,6.57,Comedy,Unknown,Di Gi Charat クリスマススペシャル,Special,1,Unknown,Madhouse,2838,3
1758,Di Gi Charat Tsuyu Specials,6.48,Comedy,Unknown,Di Gi Charat 梅雨スペシャル,Special,2,Unknown,Madhouse,1594,1
1759,Jigen Sengokushi: Kuro no Shishi - Jinnai-hen,5.62,"Action, Adventure, Historical, Sci-Fi, Shounen",Black Lion,時元戦国史 黒の獅士 陣内篇,OVA,1,Unknown,Unknown,3258,3
1760,Golgo 13,6.78,"Action, Military, Adventure, Drama, Seinen",Golgo 13:The Professional,ゴルゴ１３,Movie,1,Unknown,"Tokyo Movie Shinsha, Filmlink International",13087,43
1761,Golgo 13: Queen Bee,6.59,"Action, Adventure, Military, Drama, Seinen",Golgo 13:Queen Bee,ゴルゴ１３　ＱＵＥＥＮ　ＢＥＥ,OVA,1,Unknown,Filmlink International,7930,8
1762,Arslan Senki,6.92,"Action, Adventure, Drama, Fantasy, Historical",The Heroic Legend of Arslan,アルスラーン戦記,OVA,6,Unknown,"J.C.Staff, animate Film",18138,83
1763,Midnight Panther,5.79,"Action, Adventure, Fantasy, Hentai",Unknown,ミッドナイトパンサー,OVA,2,Unknown,Unknown,2026,6
1764,Slam Dunk (Movie),7.36,"Comedy, Drama, School, Shounen, Slice of Life, Sports",Unknown,スラムダンク,Movie,1,Unknown,Toei Animation,14338,33
1765,Vampire Sensou,4.69,"Super Power, Supernatural, Vampire",Vampire Wars,ヴァンパイヤー戦争,OVA,1,Unknown,Toei Animation,3428,6
1766,Youseiki Suikoden,5.75,"Action, Martial Arts, Fantasy",Suikoden Demon Century,妖世紀水滸伝,OVA,1,Unknown,J.C.Staff,2308,1
1767,Psycho Diver: Mashou Bosatsu,5.69,"Horror, Psychological, Sci-Fi",Psycho Diver:Soul Siren,サイコダイバー 魔性菩薩,OVA,1,Unknown,Madhouse,4037,6
1768,Kikaider 01 The Animation,6.78,"Action, Adventure, Drama, Mecha, Sci-Fi, Shounen",Kikaider 01:The Animation,キカイダー０１　THE ANIMATION,OVA,4,Unknown,Radix,2482,6
1769,Oh! Super Milk-chan,5.99,"Action, Parody, Comedy, Sci-Fi",The Super Milk-Chan Show,OH! スーパーミルクチャン,TV,12,Winter 2000,Studio Pierrot,4437,18
1770,Unbalance,5.78,Hentai,Sibling Secret:She's the Twisted Sister,アンバランス,OVA,3,Unknown,AT-2,2191,1
1771,Ring ni Kakero 1: Nichibei Kessen-hen,6.5,"Action, Sports, Shounen",Ring ni Kakero 1 Episode:The Pacific War,リングにかけろ1 日米決戦編,TV,12,Spring 2006,Toei Animation,1759,14
1772,Seishoujo Kantai Virgin Fleet,5.23,"Fantasy, Military, School, Sci-Fi",Virgin Fleet,聖少女艦隊バージンフリート,OVA,3,Unknown,AIC,1676,1
1773,Hokuto no Ken: Raoh Gaiden Junai-hen,7.47,"Action, Adventure, Martial Arts",Fist of the North Star:Raoh Side Story Junai Arc,真救世主伝説 北斗の拳 ラオウ伝 殉愛の章,Movie,1,Unknown,TMS Entertainment,9311,19
1774,HeatGuy J Special,7.04,"Action, Adventure, Mecha, Police, Sci-Fi",HeatGuy J Special,ヒートガイジェイ,Special,1,Unknown,Satelight,2262,1
1775,Jikuu Tenshou Nazca,5.65,"Action, Adventure, Drama, Magic, Fantasy",Dimension Movement of Nazca,時空転抄ナスカ,TV,12,Spring 1998,"Genco, Radix",5386,6
1776,Bulg-eunmae,5.57,"Super Power, Martial Arts",Red Hawk - Weapon Of Death,붉은매,Movie,1,Unknown,Unknown,987,1
1777,Kaze no Tairiku,6.21,"Action, Adventure, Fantasy, Supernatural",The Weathering Continent,風の大陸,Movie,1,Unknown,Production I.G,4656,6
1778,Dae Jang Geum: Jang Geum's Dream,7.22,"Adventure, Comedy, Historical",Unknown,少女チャングムの夢,TV,26,Fall 2005,Unknown,2882,27
1779,Bakunyuu Shimai,6.25,Hentai,Bomb Milk Sisters,爆乳姉妹,OVA,2,Unknown,Y.O.U.C,3813,16
1780,Choukou Tenshi Escalayer,6.54,"Demons, Hentai, Sci-Fi, Super Power",Beat Angel Escalayer,超昂天使エスカレイヤー,OVA,3,Unknown,Unknown,9609,45
1781,Hi.Me.Go.To,6.28,Hentai,Unknown,Hi・Me・Go・To,OVA,1,Unknown,Unknown,3946,14
1782,Hyakki,5.6,"Hentai, Horror",Hyakki:The Secret of Devil's Island,百鬼,OVA,3,Unknown,Arms,2326,6
1783,Imouto Jiru,6.42,Hentai,Younger Sister Juice,妹汁,OVA,2,Unknown,T-Rex,9069,54
1784,Injuu Nerawareta Hanayome,5.46,Hentai,Bride of Darkness,淫獣　ねらわれた花嫁,OVA,2,Unknown,Unknown,1484,5
1785,Little Monica Monogatari,6.46,Hentai,The Story of Little Monica,リトルモニカ物語,OVA,2,Unknown,Unknown,8185,42
1786,Sprite: Between Two Worlds,5.79,"Comedy, Ecchi, Romance, School",Sprite:Between Two Worlds,真奈美＆ナミ スプライト,OVA,2,Unknown,J.C.Staff,1789,0
1787,Viper GTS,7.0,"Demons, Hentai",Viper GTS,Viper GTS,OVA,3,Unknown,Studio G-1Neo,11651,123
1788,Yuuguu Settai: Kotou no Gokuraku e Youkoso,5.65,Hentai,Fruits Cup,優遇接待～孤島の極楽へようこそ～,OVA,2,Unknown,Unknown,3593,8
1789,Argento Soma Special,6.4,"Action, Mecha, Sci-Fi",Unknown,アルジェントソーマ,Special,1,Unknown,Sunrise,3331,1
1790,Tactical Roar Special,5.87,"Action, Comedy, Ecchi, Military, Romance, Sci-Fi",Unknown,タクティカルロア - マーキュリーズの休日,Special,1,Unknown,Unknown,1649,1
1791,Ai Doll,5.71,"Hentai, Drama",Love Doll,哀・奴隷 （あい・どーる）,OVA,4,Unknown,Unknown,3257,11
1792,Overman King Gainer,6.89,"Action, Adventure, Mecha, Sci-Fi, Shounen",Unknown,オーバーマン キングゲイナー,TV,26,Fall 2002,Sunrise,10205,29
1793,Kaze no Na wa Amnesia,6.39,"Action, Dementia, Drama, Sci-Fi",A Wind Named Amnesia,風の名はアムネジア,Movie,1,Unknown,Madhouse,14404,39
1794,Dirty Pair no Ooshoubu: Nolandia no Nazo,6.4,"Action, Sci-Fi, Adventure, Comedy, Police",Dirty Pair:Affair of Nolandia,ダーティペアの大勝負 ノーランディアの謎,OVA,1,Unknown,Sunrise,3718,2
1795,Dirty Pair: Bouryaku no 005-bin,6.79,"Action, Sci-Fi, Adventure, Comedy, Police",Original Dirty Pair:Flight 005 Conspiracy,ダーティペア　謀略の００５便,OVA,1,Unknown,Sunrise,3439,4
1796,Dirty Pair: The Movie,7.08,"Action, Sci-Fi, Adventure, Comedy, Police",Dirty Pair:Project Eden,ダーティペア the Movie,Movie,1,Unknown,Sunrise,6804,30
1797,Animation Seisaku Shinkou Kuromi-chan,6.92,"Comedy, Parody, Drama",Animation Runner Kuromi,アニメーション制作進行くろみちゃん,OVA,1,Unknown,Yumeta Company,8370,6
1798,Animation Seisaku Shinkou Kuromi-chan 2,6.94,"Comedy, Parody, Drama",Animation Runner Kuromi 2,アニメーション制作進行くろみちゃん 2,OVA,1,Unknown,Yumeta Company,5171,3
1799,Fatal Fury: Legend of the Hungry Wolf,6.45,"Action, Adventure, Drama, Martial Arts, Romance, Shounen",Fatal Fury:Legend of the Hungry Wolf,バトルファイターズ餓狼伝説,OVA,1,Unknown,Unknown,8367,18
1800,Fatal Fury 2: The New Battle,6.74,"Action, Adventure, Drama, Martial Arts, Shounen",Fatal Fury 2:The New Battle,バトルファイターズ餓狼伝説2,OVA,1,Unknown,Unknown,7591,25
1802,Dirty Pair Flash,6.67,"Action, Adventure, Police, Comedy, Sci-Fi",Dirty Pair Flash,ダーティペアFLASH,OVA,6,Unknown,Sunrise,7164,22
1803,Dirty Pair: Lovely Angels yori Ai wo Komete,7.03,"Action, Adventure, Comedy, Police, Sci-Fi",Dirty Pair:With Love From the Lovely Angels,ダーティペア ラブリーエンジェルより愛をこめて,OVA,2,Unknown,Sunrise,4074,3
1804,Koko wa Green Wood,6.83,"Comedy, Drama, Romance, Shoujo, Slice of Life, Supernatural",Here is Greenwood,ここはグリーン・ウッド,OVA,6,Unknown,"Studio Pierrot, Ajia-Do",7569,26
1805,Master Mosquiton,6.69,"Action, Adventure, Comedy, Demons, Supernatural, Vampire",Master of Mosquiton,マスターモスキートン,OVA,6,Unknown,Unknown,4718,14
1806,Master Mosquiton '99,6.52,"Action, Adventure, Comedy, Supernatural, Vampire",Master of Mosquiton '99,マスターモスキートン'99,TV,26,Fall 1997,Unknown,3511,5
1807,Prism Ark,6.45,"Action, Fantasy, Magic, Comedy, Drama",Unknown,プリズム・アーク,TV,12,Fall 2007,Front Line,20720,34
1808,Kamichama Karin,7.28,"Comedy, Fantasy, Magic, Romance, School, Shoujo",Unknown,かみちゃまかりん,TV,26,Spring 2007,Satelight,43946,480
1810,Kyoushirou to Towa no Sora,6.48,"Drama, Magic, Romance, Shounen",Shattered Angels,京四郎と永遠（とわ）の空,TV,12,Winter 2007,TNK,37987,105
1811,Bounty Dog: Getsumen no Ibu,5.56,"Action, Sci-Fi, Space",Unknown,バウンティドッグ~月面のイブ~,OVA,2,Unknown,animate Film,2984,3
1812,Hanoka,3.67,Sci-Fi,Unknown,HANOKA～葉ノ香～,TV,12,Summer 2006,RAMS,3442,19
1813,Genshiken OVA,7.66,"Parody, Slice of Life, Comedy",Unknown,げんしけん OVA,OVA,3,Unknown,Ajia-Do,45367,33
1815,Shakugan no Shana Movie,7.39,"Action, Supernatural, Fantasy",Shakugan no Shana:The Movie,劇場版 灼眼のシャナ,Movie,1,Unknown,J.C.Staff,56499,66
1816,Sonic X,6.46,"Sci-Fi, Adventure, Comedy, Kids, Mecha, Shounen",Sonic X,ソニック X,TV,78,Spring 2003,TMS Entertainment,56222,458
1817,DearS: Kin no Tama Desu no?,6.85,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",Unknown,金の玉ですの？,Special,1,Unknown,Daume,23606,15
1818,Claymore,7.78,"Action, Adventure, Super Power, Demons, Supernatural, Fantasy, Shounen",Claymore,クレイモア,TV,26,Spring 2007,Madhouse,544135,8176
1819,Daimajuu Gekitou: Hagane no Oni,5.28,"Mecha, Horror, Sci-Fi",Unknown,大魔獣激闘　鋼の鬼,OVA,1,Unknown,Unknown,2204,3
1820,Power Dolls,5.46,"Action, Adventure, Mecha, Sci-Fi",Unknown,パワードール,OVA,2,Unknown,OLM,1737,1
1821,Guren,6.18,"Harem, Hentai",Blood Shadow,紅蓮,OVA,3,Unknown,AT-2,4813,16
1822,The Hakkenden,6.61,"Action, Adventure, Historical, Demons, Martial Arts, Samurai, Shounen",The Hakkenden:Legend of the Dog Warriors,THE 八犬伝,OVA,6,Unknown,Artmic,7057,13
1823,Shin Hakkenden,7.17,"Action, Adventure, Martial Arts, Sci-Fi",Unknown,神八剣伝,TV,26,Spring 1999,Public & Basic,4982,20
1824,Hadashi no Gen,7.79,"Drama, Historical",Barefoot Gen,はだしのゲン,Movie,1,Unknown,Madhouse,36090,119
1825,Hadashi no Gen 2,7.37,"Drama, Historical, Shounen",Barefoot Gen 2,はだしのゲン　２,Movie,1,Unknown,Madhouse,9224,11
1826,Deltora Quest,7.04,"Adventure, Kids, Fantasy",Deltora Quest,デルトラクエスト,TV,65,Winter 2007,OLM,22531,139
1827,Seirei no Moribito,8.17,"Action, Adventure, Historical, Fantasy",Moribito - Guardian of the Spirit,精霊の守り人,TV,26,Spring 2007,Production I.G,177603,2552
1828,Catblue: Dynamite,6.06,"Action, Fantasy",Catblue Dynamite,キャットブルー：ダイナマイト,ONA,1,Unknown,Unknown,1739,1
1829,Ged Senki,6.95,"Adventure, Magic, Fantasy",Tales from Earthsea,ゲド戦記,Movie,1,Unknown,Studio Ghibli,107556,189
1830,Utawarerumono Specials,7.62,"Action, Fantasy, Comedy, Drama",Unknown,うたわれるもの,Special,6,Unknown,OLM,14074,9
1831,Iczer-Girl Iczelion,5.64,"Action, Adventure, Sci-Fi",Iczelion,戦-少女[イクサーガール]イクセリオン,OVA,2,Unknown,Unknown,2246,3
1832,Meiou Project Zeorymer,6.18,"Action, Sci-Fi, Psychological, Drama, Mecha",Hades Project Zeorymer,冥王計画ゼオライマー,OVA,4,Unknown,"AIC, Artmic",4558,21
1833,Hyper-Psychic Geo Garaga,5.18,"Action, Sci-Fi, Adventure",Garaga,ギャラガ HYPER-PSYCHIC-GEO GARAGA,Movie,1,Unknown,"Anime R, Aubec",1271,3
1834,Dragon Knight 4,5.75,"Adventure, Fantasy, Hentai, Magic",Dragon Knight:Wheel of Time,ドラゴンナイト４,OVA,4,Unknown,Unknown,2542,5
1835,Ryuusei no Rockman,7.11,"Action, Game, Sci-Fi, Shounen",Megaman Star Force,流星のロックマン,TV,55,Fall 2006,Xebec,10947,82
1836,Shuffle! Memories,6.54,"Comedy, Drama, Ecchi, Fantasy, Harem, Magic, Romance, School, Seinen",Unknown,シャッフル！メモリーズ,TV,12,Winter 2007,Asread,48183,61
1837,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,6.81,"Action, Sci-Fi, Adventure, Comedy, Parody, Shounen",Dokkoida?!,住めば都のコスモス荘 すっとこ大戦ドッコイダー,TV,12,Summer 2003,ufotable,5002,15
1838,Mitsu x Mitsu Drops,5.98,"Drama, Romance, School, Shoujo",Honey x Honey Drops,蜜×蜜ドロップス,OVA,2,Unknown,Unknown,22992,92
1839,Jagainu-kun,6.44,"Adventure, Fantasy, Kids, Shoujo, Slice of Life",Unknown,じゃがいぬくん,TV,26,Spring 2004,Unknown,1292,5
1840,Zero no Tsukaima: Futatsuki no Kishi,7.49,"Action, Adventure, Harem, Comedy, Magic, Romance, Ecchi, Fantasy, School",The Familiar of Zero:Knight of the Twin Moons,ゼロの使い魔 ～双月の騎士～,TV,12,Summer 2007,J.C.Staff,415292,1365
1841,Dai Mahou Touge Omake,6.85,Comedy,Unknown,ぷにえの里帰り,Special,4,Unknown,Diomedéa,7183,2
1842,Major S3,8.27,"Drama, Shounen, Sports",Unknown,メジャー  (第3シリーズ),TV,26,Winter 2007,Studio Hibari,56078,358
1843,Yomigaeru Sora: Rescue Wings - Saigo no Shigoto,6.96,"Military, Drama, Seinen",Unknown,よみがえる空 -RESCUE WINGS- 最後の仕事,Special,1,Unknown,J.C.Staff,2711,2
1844,Clamp Gakuen Tanteidan,6.91,"Action, Mystery, Comedy, Shoujo",CLAMP School Detectives,CLAMP学園探偵団,TV,26,Spring 1997,Studio Pierrot,11517,27
1845,Gaiking: Legend of Daiku-Maryu,7.13,"Action, Mecha, Sci-Fi",Unknown,ガイキング Legend of Daiku-Maryu,TV,39,Fall 2005,Toei Animation,3966,15
1846,Princess Nine: Kisaragi Joshikou Yakyuubu,7.15,"Sports, Romance, Drama",Princess Nine,プリンセスナイン 如月女子高野球部,TV,26,Spring 1998,Phoenix Entertainment,9614,46
1847,Rec: Yurusarezarumono,7.16,"Comedy, Drama, Romance, Seinen",Unknown,レック 許されざる者,Special,1,Unknown,Shaft,21840,4
1848,Haou Taikei Ryuu Knight,6.6,"Action, Adventure, Fantasy, Mecha",Lord of Lords Ryu Knight,覇王大系リューナイト,TV,52,Spring 1994,Sunrise,2538,5
1849,Haou Taikei Ryuu Knight: Adeu Legend,6.31,"Action, Adventure, Fantasy, Mecha",Lord of Lords Ryu Knight:Adeu's Legend,覇王大系リューナイト アデュー・レジェンド,OVA,13,Unknown,Sunrise,1041,0
